name,address,piva,logo,user_id
Doner Kebab,"Piazza Dante 33, Torino",36779645760,https://example.com/images/doner_kebab.jpg,1
Kebab Place,"Via Manzoni 31, Napoli",37543619036,https://example.com/images/kebab_place.jpg,2
Pizza Mania,"Viale Italia 52, Milano",9257838099,https://example.com/images/pizza_mania.jpg,3
La Bella Napoli,"Viale Mazzini 17, Bologna",6308629088,https://example.com/images/la_bella_napoli.jpg,4
China Town,"Piazza Duomo 58, Napoli",16678306904,https://example.com/images/china_town.jpg,5
Dragon Garden,"Via Roma 89, Bologna",67779790213,https://example.com/images/dragon_garden.jpg,6
Sushi Yama,"Via Venezia 96, Roma",38905468145,https://example.com/images/sushi_yama.jpg,7
Giapponese Deli,"Corso Umberto I 65, Roma",52156006456,https://example.com/images/giapponese_deli.jpg,8
Taco Fiesta,"Via Venezia 39, Bologna",27702615039,https://example.com/images/taco_fiesta.jpg,9
El Mexicano,"Viale Italia 75, Bologna",87629558159,https://example.com/images/el_mexicano.jpg,10
K-BBQ,"Via Matteotti 71, Bologna",72728224308,https://example.com/images/k-bbq.jpg,11
Coreano House,"Via Manzoni 97, Napoli",7014469472,https://example.com/images/coreano_house.jpg,12
Taj Mahal,"Corso Umberto I 94, Torino",51902550835,https://example.com/images/taj_mahal.jpg,13
Indiano House,"Via Milano 17, Bologna",29314898706,https://example.com/images/indiano_house.jpg,14
Fast Burger,"Via Manzoni 46, Milano",29629197808,https://example.com/images/fast_burger.jpg,15
Burger House,"Via Roma 79, Napoli",10409787131,https://example.com/images/burger_house.jpg,16
Texas Grill,"Via Torino 18, Napoli",4529362458,https://example.com/images/texas_grill.jpg,17
Steak & Co,"Viale Italia 36, Torino",70382091906,https://example.com/images/steak_&_co.jpg,18
Smokehouse,"Corso Umberto I 7, Roma",42445229611,https://example.com/images/smokehouse.jpg,19
BBQ Pit,"Via Milano 77, Roma",36000310347,https://example.com/images/bbq_pit.jpg,20
Fast Food Place,"Via Milano 30, Napoli",53493997382,https://example.com/images/fast_food_place.jpg,21
Quick Bite,"Via Napoli 56, Roma",14375605145,https://example.com/images/quick_bite.jpg,22
Vegan Delight,"Via Venezia 67, Torino",44259307586,https://example.com/images/vegan_delight.jpg,23
Green Bites,"Piazza Dante 50, Milano",6154096755,https://example.com/images/green_bites.jpg,24
NoGlut,"Via Roma 99, Milano",53370152707,https://example.com/images/noglut.jpg,25
Gluten Free Hub,"Corso Garibaldi 45, Milano",32266261186,https://example.com/images/gluten_free_hub.jpg,26
Doner Kebab & Pizza Mania,"Via Manzoni 7, Verona",68470530758,https://example.com/images/doner_kebab_&_pizza_mania.jpg,27
Kebab House & Dragon Garden,"Via Verdi 12, Verona",69623594400,https://example.com/images/kebab_house_&_dragon_garden.jpg,28
Kebab House & Tokyo Bites,"Via Torino 8, Firenze",85927523201,https://example.com/images/kebab_house_&_tokyo_bites.jpg,29
Kebab House & Taco Fiesta,"Piazza Duomo 95, Catania",83602433394,https://example.com/images/kebab_house_&_taco_fiesta.jpg,30
Kebab & Coreano Place,"Via Manzoni 96, Firenze",71776961541,https://example.com/images/kebab_&_coreano_place.jpg,31
Doner Kebab & Taj Mahal,"Via Roma 73, Venezia",35586226055,https://example.com/images/doner_kebab_&_taj_mahal.jpg,32
Kebab House & Burger House,"Corso Garibaldi 32, Catania",54702592417,https://example.com/images/kebab_house_&_burger_house.jpg,33
Kebab House & Steak & Co,"Via Napoli 23, Catania",1752501509,https://example.com/images/kebab_house_&_steak_&_co.jpg,34
Kebab & Barbecue Place,"Via Matteotti 12, Catania",94290084472,https://example.com/images/kebab_&_barbecue_place.jpg,35
Kebab & Fast Food Place,"Via Napoli 27, Venezia",14450259949,https://example.com/images/kebab_&_fast_food_place.jpg,36
